date_id,full_date,day_of_week,day_number,month_number,month_name,quarter,year,is_weekend,is_np_holiday
76,3/17/2019,Sunday,17,3,March,Q1,2019,1,0
77,3/18/2019,Monday,18,3,March,Q1,2019,0,0
78,3/19/2019,Tuesday,19,3,March,Q1,2019,0,0
79,3/20/2019,Wednesday,20,3,March,Q1,2019,0,0
80,3/21/2019,Thursday,21,3,March,Q1,2019,0,0
81,3/22/2019,Friday,22,3,March,Q1,2019,0,0
82,3/23/2019,Saturday,23,3,March,Q1,2019,1,0
83,3/24/2019,Sunday,24,3,March,Q1,2019,1,0
84,3/25/2019,Monday,25,3,March,Q1,2019,0,0
85,3/26/2019,Tuesday,26,3,March,Q1,2019,0,0
86,3/27/2019,Wednesday,27,3,March,Q1,2019,0,0
87,3/28/2019,Thursday,28,3,March,Q1,2019,0,0
88,3/29/2019,Friday,29,3,March,Q1,2019,0,0
89,3/30/2019,Saturday,30,3,March,Q1,2019,1,0
90,3/31/2019,Sunday,31,3,March,Q1,2019,1,0
91,4/1/2019,Monday,1,4,April,Q2,2019,0,0
92,4/2/2019,Tuesday,2,4,April,Q2,2019,0,0
93,4/3/2019,Wednesday,3,4,April,Q2,2019,0,0
94,4/4/2019,Thursday,4,4,April,Q2,2019,0,0
95,4/5/2019,Friday,5,4,April,Q2,2019,0,0
96,4/6/2019,Saturday,6,4,April,Q2,2019,1,0
97,4/7/2019,Sunday,7,4,April,Q2,2019,1,0
98,4/8/2019,Monday,8,4,April,Q2,2019,0,0
99,4/9/2019,Tuesday,9,4,April,Q2,2019,0,0
100,4/10/2019,Wednesday,10,4,April,Q2,2019,0,0
101,4/11/2019,Thursday,11,4,April,Q2,2019,0,0
102,4/12/2019,Friday,12,4,April,Q2,2019,0,0
103,4/13/2019,Saturday,13,4,April,Q2,2019,1,0
104,4/14/2019,Sunday,14,4,April,Q2,2019,1,1
105,4/15/2019,Monday,15,4,April,Q2,2019,0,1
106,4/16/2019,Tuesday,16,4,April,Q2,2019,0,0
107,4/17/2019,Wednesday,17,4,April,Q2,2019,0,0
108,4/18/2019,Thursday,18,4,April,Q2,2019,0,0
109,4/19/2019,Friday,19,4,April,Q2,2019,0,0
110,4/20/2019,Saturday,20,4,April,Q2,2019,1,0
111,4/21/2019,Sunday,21,4,April,Q2,2019,1,0
112,4/22/2019,Monday,22,4,April,Q2,2019,0,0
113,4/23/2019,Tuesday,23,4,April,Q2,2019,0,0
114,4/24/2019,Wednesday,24,4,April,Q2,2019,0,0
115,4/25/2019,Thursday,25,4,April,Q2,2019,0,0
116,4/26/2019,Friday,26,4,April,Q2,2019,0,0
117,4/27/2019,Saturday,27,4,April,Q2,2019,1,0
118,4/28/2019,Sunday,28,4,April,Q2,2019,1,0
119,4/29/2019,Monday,29,4,April,Q2,2019,0,0
120,4/30/2019,Tuesday,30,4,April,Q2,2019,0,0
121,5/1/2019,Wednesday,1,5,May,Q2,2019,0,0
122,5/2/2019,Thursday,2,5,May,Q2,2019,0,0
123,5/3/2019,Friday,3,5,May,Q2,2019,0,0
124,5/4/2019,Saturday,4,5,May,Q2,2019,1,0
125,5/5/2019,Sunday,5,5,May,Q2,2019,1,0
126,5/6/2019,Monday,6,5,May,Q2,2019,0,0
127,5/7/2019,Tuesday,7,5,May,Q2,2019,0,0
128,5/8/2019,Wednesday,8,5,May,Q2,2019,0,0
129,5/9/2019,Thursday,9,5,May,Q2,2019,0,0
130,5/10/2019,Friday,10,5,May,Q2,2019,0,0
131,5/11/2019,Saturday,11,5,May,Q2,2019,1,0
132,5/12/2019,Sunday,12,5,May,Q2,2019,1,0
133,5/13/2019,Monday,13,5,May,Q2,2019,0,0
134,5/14/2019,Tuesday,14,5,May,Q2,2019,0,0
135,5/15/2019,Wednesday,15,5,May,Q2,2019,0,1
136,5/16/2019,Thursday,16,5,May,Q2,2019,0,1
137,5/17/2019,Friday,17,5,May,Q2,2019,0,0
138,5/18/2019,Saturday,18,5,May,Q2,2019,1,0
139,5/19/2019,Sunday,19,5,May,Q2,2019,1,0
140,5/20/2019,Monday,20,5,May,Q2,2019,0,0
141,5/21/2019,Tuesday,21,5,May,Q2,2019,0,0
142,5/22/2019,Wednesday,22,5,May,Q2,2019,0,0
143,5/23/2019,Thursday,23,5,May,Q2,2019,0,0
144,5/24/2019,Friday,24,5,May,Q2,2019,0,0
145,5/25/2019,Saturday,25,5,May,Q2,2019,1,0
146,5/26/2019,Sunday,26,5,May,Q2,2019,1,0
147,5/27/2019,Monday,27,5,May,Q2,2019,0,0
148,5/28/2019,Tuesday,28,5,May,Q2,2019,0,0
149,5/29/2019,Wednesday,29,5,May,Q2,2019,0,0
150,5/30/2019,Thursday,30,5,May,Q2,2019,0,0
151,5/31/2019,Friday,31,5,May,Q2,2019,0,0
152,6/1/2019,Saturday,1,6,June,Q2,2019,1,0
153,6/2/2019,Sunday,2,6,June,Q2,2019,1,0
154,6/3/2019,Monday,3,6,June,Q2,2019,0,0
155,6/4/2019,Tuesday,4,6,June,Q2,2019,0,0
156,6/5/2019,Wednesday,5,6,June,Q2,2019,0,0
157,6/6/2019,Thursday,6,6,June,Q2,2019,0,0
158,6/7/2019,Friday,7,6,June,Q2,2019,0,0
159,6/8/2019,Saturday,8,6,June,Q2,2019,1,0
160,6/9/2019,Sunday,9,6,June,Q2,2019,1,0
161,6/10/2019,Monday,10,6,June,Q2,2019,0,0
162,6/11/2019,Tuesday,11,6,June,Q2,2019,0,0
163,6/12/2019,Wednesday,12,6,June,Q2,2019,0,0
164,6/13/2019,Thursday,13,6,June,Q2,2019,0,0
165,6/14/2019,Friday,14,6,June,Q2,2019,0,0
166,6/15/2019,Saturday,15,6,June,Q2,2019,1,0
167,6/16/2019,Sunday,16,6,June,Q2,2019,1,0
168,6/17/2019,Monday,17,6,June,Q2,2019,0,0
169,6/18/2019,Tuesday,18,6,June,Q2,2019,0,0
170,6/19/2019,Wednesday,19,6,June,Q2,2019,0,0
171,6/20/2019,Thursday,20,6,June,Q2,2019,0,0
172,6/21/2019,Friday,21,6,June,Q2,2019,0,0
173,6/22/2019,Saturday,22,6,June,Q2,2019,1,0
174,6/23/2019,Sunday,23,6,June,Q2,2019,1,0
175,6/24/2019,Monday,24,6,June,Q2,2019,0,0
176,6/25/2019,Tuesday,25,6,June,Q2,2019,0,0
177,6/26/2019,Wednesday,26,6,June,Q2,2019,0,0
178,6/27/2019,Thursday,27,6,June,Q2,2019,0,0
179,6/28/2019,Friday,28,6,June,Q2,2019,0,0
180,6/29/2019,Saturday,29,6,June,Q2,2019,1,0
181,6/30/2019,Sunday,30,6,June,Q2,2019,1,0
182,7/1/2019,Monday,1,7,July,Q3,2019,0,0
183,7/2/2019,Tuesday,2,7,July,Q3,2019,0,0
184,7/3/2019,Wednesday,3,7,July,Q3,2019,0,0
185,7/4/2019,Thursday,4,7,July,Q3,2019,0,0
186,7/5/2019,Friday,5,7,July,Q3,2019,0,0
187,7/6/2019,Saturday,6,7,July,Q3,2019,1,0
188,7/7/2019,Sunday,7,7,July,Q3,2019,1,0
189,7/8/2019,Monday,8,7,July,Q3,2019,0,0
190,7/9/2019,Tuesday,9,7,July,Q3,2019,0,0
191,7/10/2019,Wednesday,10,7,July,Q3,2019,0,0
192,7/11/2019,Thursday,11,7,July,Q3,2019,0,0
193,7/12/2019,Friday,12,7,July,Q3,2019,0,0
194,7/13/2019,Saturday,13,7,July,Q3,2019,1,0
195,7/14/2019,Sunday,14,7,July,Q3,2019,1,0
196,7/15/2019,Monday,15,7,July,Q3,2019,0,0
197,7/16/2019,Tuesday,16,7,July,Q3,2019,0,0
198,7/17/2019,Wednesday,17,7,July,Q3,2019,0,0
199,7/18/2019,Thursday,18,7,July,Q3,2019,0,0
200,7/19/2019,Friday,19,7,July,Q3,2019,0,0
201,7/20/2019,Saturday,20,7,July,Q3,2019,1,0
202,7/21/2019,Sunday,21,7,July,Q3,2019,1,0
203,7/22/2019,Monday,22,7,July,Q3,2019,0,0
204,7/23/2019,Tuesday,23,7,July,Q3,2019,0,0
205,7/24/2019,Wednesday,24,7,July,Q3,2019,0,0
206,7/25/2019,Thursday,25,7,July,Q3,2019,0,0
207,7/26/2019,Friday,26,7,July,Q3,2019,0,0
208,7/27/2019,Saturday,27,7,July,Q3,2019,1,0
209,7/28/2019,Sunday,28,7,July,Q3,2019,1,0
210,7/29/2019,Monday,29,7,July,Q3,2019,0,0
211,7/30/2019,Tuesday,30,7,July,Q3,2019,0,0
212,7/31/2019,Wednesday,31,7,July,Q3,2019,0,0
213,8/1/2019,Thursday,1,8,August,Q3,2019,0,0
214,8/2/2019,Friday,2,8,August,Q3,2019,0,0
215,8/3/2019,Saturday,3,8,August,Q3,2019,1,0
216,8/4/2019,Sunday,4,8,August,Q3,2019,1,0
217,8/5/2019,Monday,5,8,August,Q3,2019,0,0
218,8/6/2019,Tuesday,6,8,August,Q3,2019,0,0
219,8/7/2019,Wednesday,7,8,August,Q3,2019,0,0
220,8/8/2019,Thursday,8,8,August,Q3,2019,0,0
221,8/9/2019,Friday,9,8,August,Q3,2019,0,0
222,8/10/2019,Saturday,10,8,August,Q3,2019,1,0
223,8/11/2019,Sunday,11,8,August,Q3,2019,1,0
224,8/12/2019,Monday,12,8,August,Q3,2019,0,0
225,8/13/2019,Tuesday,13,8,August,Q3,2019,0,0
226,8/14/2019,Wednesday,14,8,August,Q3,2019,0,0
227,8/15/2019,Thursday,15,8,August,Q3,2019,0,0
228,8/16/2019,Friday,16,8,August,Q3,2019,0,0
229,8/17/2019,Saturday,17,8,August,Q3,2019,1,0
230,8/18/2019,Sunday,18,8,August,Q3,2019,1,0
231,8/19/2019,Monday,19,8,August,Q3,2019,0,0
232,8/20/2019,Tuesday,20,8,August,Q3,2019,0,0
233,8/21/2019,Wednesday,21,8,August,Q3,2019,0,0
234,8/22/2019,Thursday,22,8,August,Q3,2019,0,0
235,8/23/2019,Friday,23,8,August,Q3,2019,0,0
236,8/24/2019,Saturday,24,8,August,Q3,2019,1,0
237,8/25/2019,Sunday,25,8,August,Q3,2019,1,0
238,8/26/2019,Monday,26,8,August,Q3,2019,0,0
239,8/27/2019,Tuesday,27,8,August,Q3,2019,0,0
240,8/28/2019,Wednesday,28,8,August,Q3,2019,0,0
241,8/29/2019,Thursday,29,8,August,Q3,2019,0,0
242,8/30/2019,Friday,30,8,August,Q3,2019,0,0
243,8/31/2019,Saturday,31,8,August,Q3,2019,1,0
244,9/1/2019,Sunday,1,9,September,Q3,2019,1,0
245,9/2/2019,Monday,2,9,September,Q3,2019,0,0
246,9/3/2019,Tuesday,3,9,September,Q3,2019,0,0
247,9/4/2019,Wednesday,4,9,September,Q3,2019,0,0
248,9/5/2019,Thursday,5,9,September,Q3,2019,0,0
249,9/6/2019,Friday,6,9,September,Q3,2019,0,0
250,9/7/2019,Saturday,7,9,September,Q3,2019,1,0
251,9/8/2019,Sunday,8,9,September,Q3,2019,1,0
252,9/9/2019,Monday,9,9,September,Q3,2019,0,0
253,9/10/2019,Tuesday,10,9,September,Q3,2019,0,0
254,9/11/2019,Wednesday,11,9,September,Q3,2019,0,0
255,9/12/2019,Thursday,12,9,September,Q3,2019,0,0
256,9/13/2019,Friday,13,9,September,Q3,2019,0,0
257,9/14/2019,Saturday,14,9,September,Q3,2019,1,0
258,9/15/2019,Sunday,15,9,September,Q3,2019,1,0
259,9/16/2019,Monday,16,9,September,Q3,2019,0,0
260,9/17/2019,Tuesday,17,9,September,Q3,2019,0,0
261,9/18/2019,Wednesday,18,9,September,Q3,2019,0,0
262,9/19/2019,Thursday,19,9,September,Q3,2019,0,0
263,9/20/2019,Friday,20,9,September,Q3,2019,0,0
264,9/21/2019,Saturday,21,9,September,Q3,2019,1,0
265,9/22/2019,Sunday,22,9,September,Q3,2019,1,0
266,9/23/2019,Monday,23,9,September,Q3,2019,0,0
267,9/24/2019,Tuesday,24,9,September,Q3,2019,0,0
268,9/25/2019,Wednesday,25,9,September,Q3,2019,0,0
269,9/26/2019,Thursday,26,9,September,Q3,2019,0,0
270,9/27/2019,Friday,27,9,September,Q3,2019,0,0
271,9/28/2019,Saturday,28,9,September,Q3,2019,1,0
272,9/29/2019,Sunday,29,9,September,Q3,2019,1,0
273,9/30/2019,Monday,30,9,September,Q3,2019,0,0
274,10/1/2019,Tuesday,1,10,October,Q4,2019,0,0
275,10/2/2019,Wednesday,2,10,October,Q4,2019,0,0
276,10/3/2019,Thursday,3,10,October,Q4,2019,0,0
277,10/4/2019,Friday,4,10,October,Q4,2019,0,0
278,10/5/2019,Saturday,5,10,October,Q4,2019,1,0
279,10/6/2019,Sunday,6,10,October,Q4,2019,1,0
280,10/7/2019,Monday,7,10,October,Q4,2019,0,0
281,10/8/2019,Tuesday,8,10,October,Q4,2019,0,0
282,10/9/2019,Wednesday,9,10,October,Q4,2019,0,0
283,10/10/2019,Thursday,10,10,October,Q4,2019,0,1
284,10/11/2019,Friday,11,10,October,Q4,2019,0,1
285,10/12/2019,Saturday,12,10,October,Q4,2019,1,1
286,10/13/2019,Sunday,13,10,October,Q4,2019,1,1
287,10/14/2019,Monday,14,10,October,Q4,2019,0,1
288,10/15/2019,Tuesday,15,10,October,Q4,2019,0,1
289,10/16/2019,Wednesday,16,10,October,Q4,2019,0,1
290,10/17/2019,Thursday,17,10,October,Q4,2019,0,1
291,10/18/2019,Friday,18,10,October,Q4,2019,0,1
292,10/19/2019,Saturday,19,10,October,Q4,2019,1,1
293,10/20/2019,Sunday,20,10,October,Q4,2019,1,1
294,10/21/2019,Monday,21,10,October,Q4,2019,0,1
295,10/22/2019,Tuesday,22,10,October,Q4,2019,0,0
296,10/23/2019,Wednesday,23,10,October,Q4,2019,0,0
297,10/24/2019,Thursday,24,10,October,Q4,2019,0,0
298,10/25/2019,Friday,25,10,October,Q4,2019,0,0
299,10/26/2019,Saturday,26,10,October,Q4,2019,1,0
300,10/27/2019,Sunday,27,10,October,Q4,2019,1,0
301,10/28/2019,Monday,28,10,October,Q4,2019,0,1
302,10/29/2019,Tuesday,29,10,October,Q4,2019,0,1
303,10/30/2019,Wednesday,30,10,October,Q4,2019,0,1
304,10/31/2019,Thursday,31,10,October,Q4,2019,0,1
305,11/1/2019,Friday,1,11,November,Q4,2019,0,1
306,11/2/2019,Saturday,2,11,November,Q4,2019,1,1
307,11/3/2019,Sunday,3,11,November,Q4,2019,1,1
308,11/4/2019,Monday,4,11,November,Q4,2019,0,1
309,11/5/2019,Tuesday,5,11,November,Q4,2019,0,0
310,11/6/2019,Wednesday,6,11,November,Q4,2019,0,0
311,11/7/2019,Thursday,7,11,November,Q4,2019,0,0
312,11/8/2019,Friday,8,11,November,Q4,2019,0,0
313,11/9/2019,Saturday,9,11,November,Q4,2019,1,0
314,11/10/2019,Sunday,10,11,November,Q4,2019,1,0
315,11/11/2019,Monday,11,11,November,Q4,2019,0,0
316,11/12/2019,Tuesday,12,11,November,Q4,2019,0,0
317,11/13/2019,Wednesday,13,11,November,Q4,2019,0,0
318,11/14/2019,Thursday,14,11,November,Q4,2019,0,0
319,11/15/2019,Friday,15,11,November,Q4,2019,0,0
320,11/16/2019,Saturday,16,11,November,Q4,2019,1,0
321,11/17/2019,Sunday,17,11,November,Q4,2019,1,0
322,11/18/2019,Monday,18,11,November,Q4,2019,0,0
323,11/19/2019,Tuesday,19,11,November,Q4,2019,0,0
324,11/20/2019,Wednesday,20,11,November,Q4,2019,0,0
325,11/21/2019,Thursday,21,11,November,Q4,2019,0,0
326,11/22/2019,Friday,22,11,November,Q4,2019,0,0
327,11/23/2019,Saturday,23,11,November,Q4,2019,1,0
328,11/24/2019,Sunday,24,11,November,Q4,2019,1,0
329,11/25/2019,Monday,25,11,November,Q4,2019,0,0
330,11/26/2019,Tuesday,26,11,November,Q4,2019,0,0
331,11/27/2019,Wednesday,27,11,November,Q4,2019,0,0
332,11/28/2019,Thursday,28,11,November,Q4,2019,0,0
333,11/29/2019,Friday,29,11,November,Q4,2019,0,0
334,11/30/2019,Saturday,30,11,November,Q4,2019,1,0
335,12/1/2019,Sunday,1,12,December,Q4,2019,1,0
336,12/2/2019,Monday,2,12,December,Q4,2019,0,0
337,12/3/2019,Tuesday,3,12,December,Q4,2019,0,0
338,12/4/2019,Wednesday,4,12,December,Q4,2019,0,0
339,12/5/2019,Thursday,5,12,December,Q4,2019,0,0
340,12/6/2019,Friday,6,12,December,Q4,2019,0,0
341,12/7/2019,Saturday,7,12,December,Q4,2019,1,0
342,12/8/2019,Sunday,8,12,December,Q4,2019,1,0
343,12/9/2019,Monday,9,12,December,Q4,2019,0,0
344,12/10/2019,Tuesday,10,12,December,Q4,2019,0,0
345,12/11/2019,Wednesday,11,12,December,Q4,2019,0,0
346,12/12/2019,Thursday,12,12,December,Q4,2019,0,0
347,12/13/2019,Friday,13,12,December,Q4,2019,0,0
348,12/14/2019,Saturday,14,12,December,Q4,2019,1,0
349,12/15/2019,Sunday,15,12,December,Q4,2019,1,0
350,12/16/2019,Monday,16,12,December,Q4,2019,0,0
351,12/17/2019,Tuesday,17,12,December,Q4,2019,0,0
352,12/18/2019,Wednesday,18,12,December,Q4,2019,0,0
353,12/19/2019,Thursday,19,12,December,Q4,2019,0,0
354,12/20/2019,Friday,20,12,December,Q4,2019,0,0
355,12/21/2019,Saturday,21,12,December,Q4,2019,1,0
356,12/22/2019,Sunday,22,12,December,Q4,2019,1,0
357,12/23/2019,Monday,23,12,December,Q4,2019,0,0
358,12/24/2019,Tuesday,24,12,December,Q4,2019,0,0
359,12/25/2019,Wednesday,25,12,December,Q4,2019,0,0
360,12/26/2019,Thursday,26,12,December,Q4,2019,0,0
361,12/27/2019,Friday,27,12,December,Q4,2019,0,0
362,12/28/2019,Saturday,28,12,December,Q4,2019,1,0
363,12/29/2019,Sunday,29,12,December,Q4,2019,1,0
364,12/30/2019,Monday,30,12,December,Q4,2019,0,0
365,12/31/2019,Tuesday,31,12,December,Q4,2019,0,0
366,1/1/2020,Wednesday,1,1,January,Q1,2020,0,0
367,1/2/2020,Thursday,2,1,January,Q1,2020,0,0
368,1/3/2020,Friday,3,1,January,Q1,2020,0,0
369,1/4/2020,Saturday,4,1,January,Q1,2020,1,0
370,1/5/2020,Sunday,5,1,January,Q1,2020,1,0
371,1/6/2020,Monday,6,1,January,Q1,2020,0,0
372,1/7/2020,Tuesday,7,1,January,Q1,2020,0,0
373,1/8/2020,Wednesday,8,1,January,Q1,2020,0,0
374,1/9/2020,Thursday,9,1,January,Q1,2020,0,0
375,1/10/2020,Friday,10,1,January,Q1,2020,0,0
376,1/11/2020,Saturday,11,1,January,Q1,2020,1,0
377,1/12/2020,Sunday,12,1,January,Q1,2020,1,0
378,1/13/2020,Monday,13,1,January,Q1,2020,0,0
379,1/14/2020,Tuesday,14,1,January,Q1,2020,0,0
380,1/15/2020,Wednesday,15,1,January,Q1,2020,0,0
381,1/16/2020,Thursday,16,1,January,Q1,2020,0,0
382,1/17/2020,Friday,17,1,January,Q1,2020,0,0
383,1/18/2020,Saturday,18,1,January,Q1,2020,1,0
384,1/19/2020,Sunday,19,1,January,Q1,2020,1,0
385,1/20/2020,Monday,20,1,January,Q1,2020,0,0
386,1/21/2020,Tuesday,21,1,January,Q1,2020,0,0
387,1/22/2020,Wednesday,22,1,January,Q1,2020,0,0
388,1/23/2020,Thursday,23,1,January,Q1,2020,0,0
389,1/24/2020,Friday,24,1,January,Q1,2020,0,0
390,1/25/2020,Saturday,25,1,January,Q1,2020,1,0
391,1/26/2020,Sunday,26,1,January,Q1,2020,1,0
392,1/27/2020,Monday,27,1,January,Q1,2020,0,0
393,1/28/2020,Tuesday,28,1,January,Q1,2020,0,0
394,1/29/2020,Wednesday,29,1,January,Q1,2020,0,0
395,1/30/2020,Thursday,30,1,January,Q1,2020,0,0
396,1/31/2020,Friday,31,1,January,Q1,2020,0,0
397,2/1/2020,Saturday,1,2,February,Q1,2020,1,0
398,2/2/2020,Sunday,2,2,February,Q1,2020,1,0
399,2/3/2020,Monday,3,2,February,Q1,2020,0,0
400,2/4/2020,Tuesday,4,2,February,Q1,2020,0,0
401,2/5/2020,Wednesday,5,2,February,Q1,2020,0,0
402,2/6/2020,Thursday,6,2,February,Q1,2020,0,0
403,2/7/2020,Friday,7,2,February,Q1,2020,0,0
404,2/8/2020,Saturday,8,2,February,Q1,2020,1,0
405,2/9/2020,Sunday,9,2,February,Q1,2020,1,0
406,2/10/2020,Monday,10,2,February,Q1,2020,0,0
407,2/11/2020,Tuesday,11,2,February,Q1,2020,0,0
408,2/12/2020,Wednesday,12,2,February,Q1,2020,0,0
409,2/13/2020,Thursday,13,2,February,Q1,2020,0,0
410,2/14/2020,Friday,14,2,February,Q1,2020,0,0
411,2/15/2020,Saturday,15,2,February,Q1,2020,1,0
412,2/16/2020,Sunday,16,2,February,Q1,2020,1,0
413,2/17/2020,Monday,17,2,February,Q1,2020,0,0
414,2/18/2020,Tuesday,18,2,February,Q1,2020,0,0
415,2/19/2020,Wednesday,19,2,February,Q1,2020,0,0
416,2/20/2020,Thursday,20,2,February,Q1,2020,0,0
417,2/21/2020,Friday,21,2,February,Q1,2020,0,0
418,2/22/2020,Saturday,22,2,February,Q1,2020,1,0
419,2/23/2020,Sunday,23,2,February,Q1,2020,1,0
420,2/24/2020,Monday,24,2,February,Q1,2020,0,0
421,2/25/2020,Tuesday,25,2,February,Q1,2020,0,0
422,2/26/2020,Wednesday,26,2,February,Q1,2020,0,0
423,2/27/2020,Thursday,27,2,February,Q1,2020,0,0
424,2/28/2020,Friday,28,2,February,Q1,2020,0,0
425,2/29/2020,Saturday,29,2,February,Q1,2020,1,0
426,3/1/2020,Sunday,1,3,March,Q1,2020,1,0
427,3/2/2020,Monday,2,3,March,Q1,2020,0,0
428,3/3/2020,Tuesday,3,3,March,Q1,2020,0,0
429,3/4/2020,Wednesday,4,3,March,Q1,2020,0,0
430,3/5/2020,Thursday,5,3,March,Q1,2020,0,0
431,3/6/2020,Friday,6,3,March,Q1,2020,0,0
432,3/7/2020,Saturday,7,3,March,Q1,2020,1,0
433,3/8/2020,Sunday,8,3,March,Q1,2020,1,0
434,3/9/2020,Monday,9,3,March,Q1,2020,0,0
435,3/10/2020,Tuesday,10,3,March,Q1,2020,0,0
436,3/11/2020,Wednesday,11,3,March,Q1,2020,0,0
437,3/12/2020,Thursday,12,3,March,Q1,2020,0,0
438,3/13/2020,Friday,13,3,March,Q1,2020,0,0
439,3/14/2020,Saturday,14,3,March,Q1,2020,1,1
440,3/15/2020,Sunday,15,3,March,Q1,2020,1,1
441,3/16/2020,Monday,16,3,March,Q1,2020,0,0
442,3/17/2020,Tuesday,17,3,March,Q1,2020,0,0
443,3/18/2020,Wednesday,18,3,March,Q1,2020,0,0
444,3/19/2020,Thursday,19,3,March,Q1,2020,0,0
445,3/20/2020,Friday,20,3,March,Q1,2020,0,0
446,3/21/2020,Saturday,21,3,March,Q1,2020,1,0
447,3/22/2020,Sunday,22,3,March,Q1,2020,1,0
448,3/23/2020,Monday,23,3,March,Q1,2020,0,0
